Index,Artist Name,Gender,Primary Genre,Birthday,Year Debut Studio Album Released,Debut Album,Debut Album First Week Sales,Age At The Time of First Released Album,Earliest Monthly Listeners,Monthly Listeners 3 Years Later or Latest,Percent Increase In Monthly Listeners,Billboard 100 Entries Within 3 Years of Debut Album,Average Number of Days Between Release Dates,RIAA Certifications Within 3 Years of Debut Album,Most Streamed Song Within 3 Years of Debut Album,Most Streamed Song Within 3 Years of Debut Album Number of Streams,ChatGPT Lyric Rating,ChatGPT Language and Wordplay Rating,ChatGPT Originality and Uniqueness Rating,ChatGPT Memorability Rating,ChatGPT Score,ChatGPT High Achievement Score Prediction,Grok Lyric Rating,Grok Language and Wordplay Rating,Grok Originality and Uniqueness Rating,Grok Memorability Rating,Grok Score,Grok High Achievement Score Prediction,Total RIAA Certifications,Total Billboard 100 Entries,Total Spotify Monthly Listeners,Total Spotify Streams,Total Spotify Playlists Appearances,Total YouTube Views,Achievement Score
1,Famous Dex,Male,Hip-Hop/Rap,6-Sep-1993,2018,Dex Meets Dexter,"25,000",24,"6,908,770","3,981,841",-42.37,1,716,3,JAPAN,"480,958,726",3.0,2.0,2.0,3.0,10.0,0,3,4,3,4,14,1,3,2,"2,754,966","1,497,949,068","10,300","294,975,911",3.73075014753271
2,Ugly God,Male,Hip-Hop/Rap,19-Sep-1996,2019,Bumps & Bruises,"14,000",22,"1,600,316","748,684",-53.22,0,"1,659",0,One Two,"25,431,658",2.0,2.0,2.0,3.0,9.0,0,3,2,2,3,10,0,1,2,"494,393","573,965,949","4,575","71,520,502",1.49008671301044
3,Lil Yachty,Male,Hip-Hop/Rap,23-Aug-1997,2017,Teenage Emotions,"46,000",19,"11,236,000","10,444,977",-7.04,12,352,3,Coffin,"135,007,880",3.0,3.0,3.0,4.0,13.0,1,3,3,2,3,11,0,14,21,"18,435,135","9,643,202,826","44,400","967,857,234",20.5730763788318
4,6ix9ine,Male,Hip-Hop/Rap,8-May-1996,2018,Dummy Boy,"66,000",22,"24,558,267","7,968,431",-67.55,17,638,17,GOOBA,"460,339,093",3.0,3.0,3.0,4.0,13.0,1,3.5,3.5,3,3,13,1,17,20,"9,138,330","6,864,642,791","24,100","7,907,552,370",20.8699254650476
5,Trippie Redd,Male,Hip-Hop/Rap,18-Jun-1999,2018,Life's A Trip,"72,000",19,"10,810,183","19,645,730",81.73,28,176,27,Taking A Walk,"549,812,897",3.0,3.0,3.0,4.0,13.0,1,2,2,1,1,6,0,42,35,"24,924,486","14,363,503,810","38,200","1,731,861,581",32.4687585055739
6,XXXTENTACION,Male,Hip-Hop/Rap,23-Jan-1998,2017,17,"87,000",19,"33,034,822","30,385,733",-8.02,32,301,19,SAD!,"2,165,294,485",4.0,3.0,4.0,5.0,16.0,1,4,3,3,3,13,0,34,35,"38,430,077","30,321,052,755","48,400","9,331,426,491",46.6959373915124
7,Playboi Carti,Male,Hip-Hop/Rap,13-Aug-1996,2018,Die Lit,"61,000",21,"5,519,979","16,314,077",195.55,12,"1,057",7,Sky,"648,222,754",2.0,2.0,2.0,3.0,9.0,0,3,2,2,3,10,1,8,17,"46,123,040","12,009,899,596","32,900","570,005,201",23.9803925042443
8,Lil Uzi Vert,Male,Hip-Hop/Rap,31-Jul-1994,2017,Luv is Rage 2,"135,000",23,"12,978,923","21,966,051",69.24,69,332,23,XO Tour Llif3,"2,057,191,354",3.0,2.0,3.0,4.0,12.0,1,3.5,3,3,3,12.5,1,32,108,"34,696,514","24,686,003,646","57,800","4,035,024,186",50.9098655634096
9,Blueface,Male,Hip-Hop/Rap,20-Jan-1997,2020,Find The Beat,"12,000",23,"13,154,305","6,298,796",-52.12,0,480,3,TikTok,"29,050,522",2.0,2.0,2.0,3.0,9.0,1,2,1,1,3,7,0,4,3,"4,447,939","2,749,387,360","16,000","1,120,733,851",6.32995016607332
10,Juice WRLD,Male,Hip-Hop/Rap,2-Dec-1998,2018,Goodbye & Good Riddance,"39,000",20,"21,782,231","34,989,109",60.63,69,316,23,Lucid Dreams,"2,461,676,966",3.0,2.0,3.0,4.0,12.0,1,4,3,3,3,13,1,74,80,"31,690,004","34,744,602,387","55,100","7,126,682,389",62.1805818254954
